,fluxes
13BGH,0.0
13BGHe,0.0
13GS,0.0342562305691338
16GS,0.0
23CAPPD,0.0
2DDA7Ptm,0.0
2DHPtm,0.0
2DOXG6PP,0.0
2HBO,0.0
2HBt2,-9.174478217725804e-15
2HMHMBQMTm,0.0
2HP6MPMOm,0.0
2HPMBQMTm,0.0
2HPMMBQMOm,0.0
2MBACt,0.0
2MBALDt,0.0
2MBALDtm,0.0
2MBTOHt,0.0
2MBTOHtm,0.0
2MPPALt,0.0
2MPPALtm,0.0
2OBUTtm,0.005817038800380758
2OXOADPtim,0.008639525192885175
2PHETOHt,0.0
2PHETOHtm,0.0
34HPLFM,0.0
34HPPOR,0.0
34HPPt2m,0.0
34HPPt2p,0.0
3C3HMPt,0.0
3C3HMPtm,0.0
3C4MOPtm,0.0
3DH5HPBMTm,0.0
3DH5HPBtm,0.0
3DSPHR,0.0
3HAO,0.0
3HPH5MBDCm,0.0
3IPM3MT,0.0
3MBALDt,0.0
3MBALDtm,0.0
3MOBDC,0.0
3MOBtm,-0.016934918355026498
3MOPDC,0.0
3MOPt,0.0
3MOPtm,-0.002028567760174294
3OPHB5Hm,0.0
3OPHB_5tm,0.0
4ABUTNtm,0.0
4ABUTtm,0.0
4ABZt,0.0
4ABZtm,0.0
4H2OGLTtm,0.0
4H2OGLTtp,0.0
4HBZCOAFm,0.0
4HBZFm,0.0
4HBZtm,0.0
4HGLSDm,0.0
4HPRO_LTtm,0.0
4HTHRS,0.0
4MOPDC,0.0
5AOPt2,0.0
5AOPtm,0.0
6PGLter,-8.754235869799795e-05
8AONNt2,0.0
AABTN,0.0
AACTOOR,0.0
AASAD1,0.0
AASAD2,0.008639525192885173
AATA,0.008639525192885175
ABTA,0.0
ABTt,0.0
ABUTDm,0.0
ABUTt2r,0.0
ACACT1b,0.0
ACACT1m,3.8366677719361184
ACACT1r,7.542406286592871
ACACT4p,-7.898631119093248e-19
ACACT5p,-7.898631119093846e-19
ACACT6p,-7.898631119093846e-19
ACACT7p,-7.898631119093845e-19
ACACT8p,-7.898631119093843e-19
ACACT9p,0.0
ACALDCD,0.0
ACALDt,0.0
ACALDtm,0.0
ACCOAC,0.012002359247697925
ACCOACrm,-3.4904831466399314e-18
ACCOAtn,0.0
ACESt,0.0
ACGAM6PS,0.0
ACGAMPM,0.0
ACGKm,0.004851054152678713
ACGSm,0.0
ACHBSm,0.005817038800380759
ACHLE1,0.0
ACHLE2,0.0
ACHLE3,0.0
ACLSm,0.016934918355026498
ACOAD1b,11.378675589861821
ACOAHim,0.0
ACOAO4p,-7.898631119093846e-19
ACOAO5p,-7.898631119093846e-19
ACOAO6p,-7.898631119093845e-19
ACOAO7p,-7.898631119093844e-19
ACOAO8p,-7.898631119093846e-19
ACOAO9p,0.0
ACOATA,0.0
ACOATAm,-1.6772027296833425e-18
ACON3MT,0.0
ACONT,0.030754536221211826
ACONT3m,0.0
ACONTm,0.0
ACOTAim,0.004851054152678713
ACP1e,0.0
ACPSm,0.0
ACRNtm,0.0
ACRNtp,-4.497719686077954e-16
ACS,11.272913251357112
ACSm,0.0
ACSp,0.0
ACt2r,-11.53649242606957
ACtm,2.0308120122028166e-16
ACtp,0.0
ACtr,11.536492426069568
ADA,0.0
ADCL,0.0
ADCS,0.0
ADD,0.0
ADEt2,0.0
ADEtm,0.0
ADHAPR_SC,0.0
ADK1,0.0
ADK1m,0.0
ADK3,-0.07412090762878512
ADK3m,0.0
ADK4,0.0
ADK4m,0.0
ADMDC,0.0
ADNCYC,0.0
ADNK1,0.0005644972785008831
ADNUC,0.0
ADNt2,0.0
ADPT,0.0
ADSK,0.001729716259791746
ADSL1r,0.0034986756459140247
ADSL2r,0.00298821313364398
ADSS,0.0034986756459140247
AGAT_SC,0.0007456193999450169
AGPRim,0.004851054152678713
AGTi,0.0
AHCYStm,0.0
AHCi,0.0005644972785008833
AHMMPS,0.0
AHSERL,0.0
AHSERL2,0.001729716259791431
AICART,0.004989612575601656
AIRCr,0.0029882131336439795
AKGDam,0.0
AKGDbm,0.0
AKGMAL,0.0
AKGt2n,0.0
AKGt2r,0.0
AKGtp,-9.950208255342566e-32
AKP1,0.0
ALASm,0.0
ALATA_L,-0.013849804886428079
ALATA_Lm,0.0
ALATRS,0.0
ALAt2r,0.0
ALAtmi,0.0
ALCD19y,0.0
ALCD22xi,0.0
ALCD22xim,0.0
ALCD22yi,0.0
ALCD23xi,0.0
ALCD23xim,0.0
ALCD23yi,0.0
ALCD24xi,0.0
ALCD24xim,0.0
ALCD24yi,0.0
ALCD25xi,0.0
ALCD25xim,0.0
ALCD25yi,0.0
ALCD26xi,0.0
ALCD26xim,0.0
ALCD2ir,0.0
ALCD2irm,0.0
ALCD2x_copy1,0.0
ALCD2x_copy2,0.0
ALDD19xr,0.0
ALDD20xm,0.0
ALDD20y,0.0
ALDD20ym,0.0
ALDD22x,0.0
ALDD2xm,0.0
ALDD2y,11.27118353509732
ALDD2ym,0.0
ALLTAHr,0.0
ALLTN,0.0
ALLTNti,0.0
ALLTTti,0.0
ALPHNH,0.0
AMAOTr,0.0
AMETt2,0.0
AMETtm,0.0
AMID,0.0
AMID2,0.0
AMID3,0.0
AMPDA,0.0
AMPN,0.0
AMPtn,0.0
ANPRT,0.0008573113748355662
ANS,0.0008573113748355659
AOBUTDs,0.0
AP4AH,0.0
APRTO2,0.0
ARAB14LO,0.0
ARAB1D2,0.0
ARABR,0.0
ARAB_Dt,0.0
ARAB_Lt,0.0
ARGN,0.0
ARGSL,0.004851054152678713
ARGSS,0.004851054152678713
ARGTRS,0.0
ARGTRSm,0.0
ARGt2m,0.0
ARGt2r,0.0
ARGt6,0.0
ARMT,0.0
ASAD,-6.301325795219336
ASNN,0.0
ASNNe,0.0
ASNS1,0.0030700199584780645
ASNTRS,0.0
ASNTRSm,0.0
ASNt2m,0.0
ASNt2r,0.0
ASNt6,0.0
ASNt7,0.0
ASPCT,0.0033386844386201916
ASPGLU2m,0.0
ASPGLUtp,-9.950208255342566e-32
ASPK,6.3013257952193324
ASPOcm,0.0
ASPTA,-6.3280530810702755
ASPTAm,0.0
ASPTAp,-9.950208255342566e-32
ASPTRS,0.0
ASPTRSm,0.0
ASPt2m,0.0
ASPt2n,0.0
ASPt2r,0.0
ASPt5n,0.0
ASPt7,0.0
