,fluxes
13BGH,0.0
13BGHe,0.0
13GS,0.12422410020694308
16GS,0.0
23CAPPD,0.0
2DDA7Ptm,0.0
2DHPtm,0.0
2DOXG6PP,0.0
2HBO,0.0
2HBt2,0.0
2HMHMBQMTm,0.0
2HP6MPMOm,0.0
2HPMBQMTm,0.0
2HPMMBQMOm,0.0
2MBACt,0.0
2MBALDt,0.0
2MBALDtm,0.0
2MBTOHt,0.0
2MBTOHtm,0.0
2MPPALt,0.0
2MPPALtm,0.0
2OBUTtm,0.021094451982620662
2OXOADPtim,0.031329694641546633
2PHETOHt,0.0
2PHETOHtm,0.0
34HPLFM,0.0
34HPPOR,0.0
34HPPt2m,0.011165719264282862
34HPPt2p,0.0
3C3HMPt,0.0
3C3HMPtm,0.0
3C4MOPtm,0.0
3DH5HPBMTm,0.0
3DH5HPBtm,0.0
3DSPHR,0.0
3HAO,0.0
3HPH5MBDCm,0.0
3IPM3MT,0.0
3MBALDt,0.0
3MBALDtm,0.0
3MOBDC,0.0
3MOBtm,-0.06141145595355576
3MOPDC,0.0
3MOPt,0.0
3MOPtm,-0.021094451982620666
3OPHB5Hm,0.0
3OPHB_5tm,0.0
4ABUTNtm,0.0
4ABUTtm,0.0
4ABZt,0.0
4ABZtm,0.0
4H2OGLTtm,0.0
4H2OGLTtp,0.0
4HBZCOAFm,0.0
4HBZFm,0.0
4HBZtm,0.0
4HGLSDm,0.0
4HPRO_LTtm,0.0
4HTHRS,0.0
4MOPDC,0.0
5AOPt2,0.0
5AOPtm,0.0
6PGLter,-0.00031745672418059123
8AONNt2,0.0
AABTN,0.0
AACOARb,5.5560688817986605
AACTOOR,0.0
AASAD1,0.0
AASAD2,0.03132969464154663
AATA,0.03132969464154663
ABTA,0.0
ABTt,0.0
ABUTDm,0.0
ABUTt2r,0.0
ACACT1b,0.0
ACACT1m,3.7349486912805485
ACACT1r,1.8225651659523132
ACACT4p,0.0
ACACT5p,0.0
ACACT6p,0.0
ACACT7p,0.0
ACACT8p,0.0
ACACT9p,0.0
ACALDCD,4.702273687199494e-16
ACALDt,0.0
ACALDtm,0.0
ACCOAC,0.0435244115635183
ACCOACrm,0.0
ACCOAtn,0.0
ACESt,0.0
ACGAM6PS,0.0
ACGAMPM,0.0
ACGKm,0.01759148123304173
ACGSm,0.0
ACHBSm,0.021094451982620666
ACHLE1,0.0
ACHLE2,0.0
ACHLE3,0.0
ACLSm,0.06141145595355576
ACOAD1b,5.556068881798658
ACOAHim,0.0
ACOAO4p,0.0
ACOAO5p,0.0
ACOAO6p,0.0
ACOAO7p,0.0
ACOAO8p,0.0
ACOAO9p,0.0
ACOATA,0.0
ACOATAm,0.0
ACON3MT,0.0
ACONT,0.11152583123971947
ACONT3m,0.0
ACONTm,0.0
ACOTAim,0.017591481233041727
ACP1e,0.0
ACPSm,0.0
ACRNtm,0.0
ACRNtp,0.0
ACS,0.0
ACSm,0.00627250699846464
ACSp,0.0
ACt2r,0.0
ACtm,0.006272506998464788
ACtp,0.0
ACtr,4.896294481860378e-18
ADA,0.0
ADCL,0.0
ADCS,0.0
ADD,0.0
ADEt2,0.0
ADEtm,0.0
ADHAPR_SC,0.0
ADK1,0.1147419962591722
ADK1m,0.006272506998464641
ADK3,0.0
ADK3m,0.0
ADK4,0.0
ADK4m,0.0
ADMDC,0.0
ADNCYC,0.0
ADNK1,0.0020470485317851924
ADNUC,0.0
ADNt2,0.0
ADPT,0.0
ADSK,0.006272506998464785
ADSL1r,0.012687322183628858
ADSL2r,0.010836221078148233
ADSS,0.012687322183628858
AGAT_SC,0.002703855547331242
AGPRim,0.01759148123304173
AGTi,0.0
AHCYStm,0.0
AHCi,0.0020470485317851924
AHMMPS,0.0
AHSERL,0.0
AHSERL2,0.006272506998464784
AICART,0.018093938599932094
AIRCr,0.010836221078148234
AKGDam,0.0
AKGDbm,0.0
AKGMAL,0.0
AKGt2n,0.0
AKGt2r,0.0
AKGtp,0.0
AKP1,0.0
ALASm,0.0
ALATA_L,-0.05022384312208801
ALATA_Lm,0.0
ALATRS,0.0
ALAt2r,0.0
ALAtmi,0.0
ALCD19y,0.0
ALCD22xi,0.0
ALCD22xim,0.0
ALCD22yi,0.0
ALCD23xi,0.0
ALCD23xim,0.0
ALCD23yi,0.0
ALCD24xi,0.0
ALCD24xim,0.0
ALCD24yi,0.0
ALCD25xi,0.0
ALCD25xim,0.0
ALCD25yi,0.0
ALCD26xi,0.0
ALCD26xim,0.0
ALCD2ir,0.006270317641748365
ALCD2irm,0.0
ALCD2x_copy1,0.0
ALCD2x_copy2,0.0
ALDD19xr,0.0
ALDD20xm,0.0
ALDD20y,0.0
ALDD20ym,0.0
ALDD22x,0.0
ALDD2xm,0.0
ALDD2y,0.0
ALDD2ym,0.0
ALLTAHr,0.0
ALLTN,0.0
ALLTNti,0.0
ALLTTti,0.0
ALPHNH,0.0
AMAOTr,0.0
AMETt2,0.0
AMETtm,0.0
AMID,0.0
AMID2,0.0
AMID3,0.0
AMPDA,0.0
AMPN,0.0
AMPtn,0.0
ANPRT,0.0031088865402513076
ANS,0.003108886540251308
AOBUTDs,0.0
AP4AH,0.0
APRTO2,0.0
ARAB14LO,0.0
ARAB1D2,0.0
ARABR,0.0
ARAB_Dt,0.0
ARAB_Lt,0.0
ARGN,0.0
ARGSL,0.01759148123304173
ARGSS,0.01759148123304173
ARGTRS,0.0
ARGTRSm,0.0
ARGt2m,0.0
ARGt2r,0.0
ARGt6,0.0
ARMT,0.0
ASAD,-0.0538669327016519
ASNN,0.0
ASNNe,0.0
ASNS1,0.01113287891350556
ASNTRS,0.0
ASNTRSm,0.0
ASNt2m,0.0
ASNt2r,0.0
ASNt6,0.0
ASNt7,0.0
ASPCT,0.01210714265323223
ASPGLU2m,0.0
ASPGLUtp,0.0
ASPK,0.053866932701651896
ASPOcm,0.0
ASPTA,-0.14821616580647817
ASPTAm,-0.002572494144222041
ASPTAp,0.0
ASPTRS,0.0
ASPTRSm,0.0
ASPt2m,-0.002572494144222041
ASPt2n,0.0
ASPt2r,0.0
ASPt5n,0.0
ASPt7,0.0
ATHRDHr,0.0
ATP2tp_H,0.0
ATPATF1,0.0
ATPATF2,0.0
ATPATF3,0.0
ATPH1,0.0
ATPM,1.0
ATPPRT,0.007257717521783861
ATPS,0.0
